survey,instruction,item_text,session,choice_options
fns_face2,How recently did you interact with each person face-to-face,[name],covid,"Today, Yesterday, Within the past week, Within the past two weeks, Within the past month, More than a month ago"
fns_goToBad,Which group members are you most likely to go to when something BAD happens to you,[name],baseline,nomination
fns_goToBad,Which group members are you most likely to go to when something BAD happens to you,[name],covid,nomination
fns_goToBad,Which group members are you most likely to go to when something BAD happens to you,[name],followup_6months,nomination
fns_goToBad,Which group members are you most likely to go to when something BAD happens to you,[name],followup_12months,nomination
fns_goToGood,Which group members are you most likely to go to when something GOOD happens to you,[name],baseline,nomination
fns_goToGood,Which group members are you most likely to go to when something GOOD happens to you,[name],covid,nomination
fns_goToGood,Which group members are you most likely to go to when something GOOD happens to you,[name],followup_6months,nomination
fns_goToGood,Which group members are you most likely to go to when something GOOD happens to you,[name],followup_12months,nomination
fns_influence,Who would you say are among those with the most influence over the other members,[name],baseline,nomination
fns_influence,Who would you say are among those with the most influence over the other members,[name],covid,nomination
fns_influence,Who would you say are among those with the most influence over the other members,[name],followup_6months,nomination
fns_influence,Who would you say are among those with the most influence over the other members,[name],followup_12months,nomination
fns_interact,Which group members did you interact with most recently,[name],baseline,nomination
fns_interact,Which group members did you interact with face-to-face (in person) most recently,[name],covid,nomination
fns_interact,Which group members did you interact with most recently,[name],followup_6months,nomination
fns_interact,Which group members did you interact with most recently,[name],followup_12months,nomination
fns_leaders,Who would you say are the leaders in this group,[name],baseline,nomination
fns_leaders,Who would you say are the leaders in this group,[name],covid,nomination
fns_leaders,Who would you say are the leaders in this group,[name],followup_6months,nomination
fns_leaders,Who would you say are the leaders in this group,[name],followup_12months,nomination
fns_like,Which group members do you like the most,[name],baseline,nomination
fns_like,Which group members do you like the most,[name],covid,nomination
fns_like,Which group members do you like the most,[name],followup_6months,nomination
fns_like,Which group members do you like the most,[name],followup_12months,nomination
fns_most,Which group members have you talked to most since leaving campus,[name],covid,nomination
fns_notclose,Which group members are you least close to,[name],covid,nomination
fns_phone,How recently did you interact with each person virtually by phone or video call,[name],covid,"Today, Yesterday, Within the past week, Within the past two weeks, Within the past month, More than a month ago"
fns_phone2,How recently did you interact with each person virtually by phone or video call,[name],covid,"Today, Yesterday, Within the past week, Within the past two weeks, Within the past month, More than a month ago"
fns_text,"How recently did you interact with each person by private text message (i.e., not group chat)",[name],covid,"Today, Yesterday, Within the past week, Within the past two weeks, Within the past month, More than a month ago"
fns_text2,"How recently did you interact with each person by private text message (i.e., not group chat)",[name],covid,"Today, Yesterday, Within the past week, Within the past two weeks, Within the past month, More than a month ago"
fns_virtual,"Which group members did you most recently interact with virtually (e.g., phone call, text message, social media, video chat, etc.)",[name],covid,nomination
partnerGroup,Does your organization partner with another organization,[name],baseline,"yes, no"
partnerGroup,Does your organization partner with another organization,[name],followup_6months,"yes, no"
partnerGroup,Does your organization partner with another organization,[name],followup_12months,"yes, no"
partnerGroup_closest,Which members of this partner organization are you closest to,[name],baseline,text entry
partnerGroup_closest,Which members of this partner organization are you closest to,[name],followup_6months,text entry
partnerGroup_closest,Which members of this partner organization are you closest to,[name],followup_12months,text entry
risk_notclose,What do you consider to be the probability of this person getting infected with COVID-19,[name],covid,"Slider: 1 - Extremely unlikely, 7 - Extremely likely"
