survey,item,instruction,item_text,session,choice_options
coping,4,"We are interested in how people respond to difficult events in their lives and the negative emotions associated with them. This questionnaire asks you to indicate how you have managed your emotions in response to the COVID-19 pandemic. Obviously, different people deal with things in different ways, but we are interested in how YOU have tried to deal with the challenges posed by the COVID-19 pandemic and the emotions associated with it. Please indicate how often you’ve used any of the strategies below in the last two weeks. Don't answer on the basis of whether it seems to be working or not — just whether or not you have been doing it. Make your answers as true FOR YOU as you can.",I avoided conversations with people who have different views about the pandemic from mine,covid,"Slider: 0 - None of the time, 25 - Rarely, 50 - Sometimes, 75 - Often, 100 - All of the time"
coping,5,"We are interested in how people respond to difficult events in their lives and the negative emotions associated with them. This questionnaire asks you to indicate how you have managed your emotions in response to the COVID-19 pandemic. Obviously, different people deal with things in different ways, but we are interested in how YOU have tried to deal with the challenges posed by the COVID-19 pandemic and the emotions associated with it. Please indicate how often you’ve used any of the strategies below in the last two weeks. Don't answer on the basis of whether it seems to be working or not — just whether or not you have been doing it. Make your answers as true FOR YOU as you can.","I tried to change the way I think about the situation (for instance, by telling yourself that physical distancing is the right thing to do to protect the most vulnerable)",covid,"Slider: 0 - None of the time, 25 - Rarely, 50 - Sometimes, 75 - Often, 100 - All of the time"
coping,6,"We are interested in how people respond to difficult events in their lives and the negative emotions associated with them. This questionnaire asks you to indicate how you have managed your emotions in response to the COVID-19 pandemic. Obviously, different people deal with things in different ways, but we are interested in how YOU have tried to deal with the challenges posed by the COVID-19 pandemic and the emotions associated with it. Please indicate how often you’ve used any of the strategies below in the last two weeks. Don't answer on the basis of whether it seems to be working or not — just whether or not you have been doing it. Make your answers as true FOR YOU as you can.",I made fun of the situation,covid,"Slider: 0 - None of the time, 25 - Rarely, 50 - Sometimes, 75 - Often, 100 - All of the time"
coping,7,"We are interested in how people respond to difficult events in their lives and the negative emotions associated with them. This questionnaire asks you to indicate how you have managed your emotions in response to the COVID-19 pandemic. Obviously, different people deal with things in different ways, but we are interested in how YOU have tried to deal with the challenges posed by the COVID-19 pandemic and the emotions associated with it. Please indicate how often you’ve used any of the strategies below in the last two weeks. Don't answer on the basis of whether it seems to be working or not — just whether or not you have been doing it. Make your answers as true FOR YOU as you can.",I turned to work to take my mind off things,covid,"Slider: 0 - None of the time, 25 - Rarely, 50 - Sometimes, 75 - Often, 100 - All of the time"
coping,8,"We are interested in how people respond to difficult events in their lives and the negative emotions associated with them. This questionnaire asks you to indicate how you have managed your emotions in response to the COVID-19 pandemic. Obviously, different people deal with things in different ways, but we are interested in how YOU have tried to deal with the challenges posed by the COVID-19 pandemic and the emotions associated with it. Please indicate how often you’ve used any of the strategies below in the last two weeks. Don't answer on the basis of whether it seems to be working or not — just whether or not you have been doing it. Make your answers as true FOR YOU as you can.",I used alcohol or drugs to make myself feel better,covid,"Slider: 0 - None of the time, 25 - Rarely, 50 - Sometimes, 75 - Often, 100 - All of the time"
coping,9,"We are interested in how people respond to difficult events in their lives and the negative emotions associated with them. This questionnaire asks you to indicate how you have managed your emotions in response to the COVID-19 pandemic. Obviously, different people deal with things in different ways, but we are interested in how YOU have tried to deal with the challenges posed by the COVID-19 pandemic and the emotions associated with it. Please indicate how often you’ve used any of the strategies below in the last two weeks. Don't answer on the basis of whether it seems to be working or not — just whether or not you have been doing it. Make your answers as true FOR YOU as you can.",I watched movies and TV to think less about it,covid,"Slider: 0 - None of the time, 25 - Rarely, 50 - Sometimes, 75 - Often, 100 - All of the time"
coping,10,"We are interested in how people respond to difficult events in their lives and the negative emotions associated with them. This questionnaire asks you to indicate how you have managed your emotions in response to the COVID-19 pandemic. Obviously, different people deal with things in different ways, but we are interested in how YOU have tried to deal with the challenges posed by the COVID-19 pandemic and the emotions associated with it. Please indicate how often you’ve used any of the strategies below in the last two weeks. Don't answer on the basis of whether it seems to be working or not — just whether or not you have been doing it. Make your answers as true FOR YOU as you can.",I played video games,covid,"Slider: 0 - None of the time, 25 - Rarely, 50 - Sometimes, 75 - Often, 100 - All of the time"
coping,11,"We are interested in how people respond to difficult events in their lives and the negative emotions associated with them. This questionnaire asks you to indicate how you have managed your emotions in response to the COVID-19 pandemic. Obviously, different people deal with things in different ways, but we are interested in how YOU have tried to deal with the challenges posed by the COVID-19 pandemic and the emotions associated with it. Please indicate how often you’ve used any of the strategies below in the last two weeks. Don't answer on the basis of whether it seems to be working or not — just whether or not you have been doing it. Make your answers as true FOR YOU as you can.",I slept more than usual,covid,"Slider: 0 - None of the time, 25 - Rarely, 50 - Sometimes, 75 - Often, 100 - All of the time"
coping,12,"We are interested in how people respond to difficult events in their lives and the negative emotions associated with them. This questionnaire asks you to indicate how you have managed your emotions in response to the COVID-19 pandemic. Obviously, different people deal with things in different ways, but we are interested in how YOU have tried to deal with the challenges posed by the COVID-19 pandemic and the emotions associated with it. Please indicate how often you’ve used any of the strategies below in the last two weeks. Don't answer on the basis of whether it seems to be working or not — just whether or not you have been doing it. Make your answers as true FOR YOU as you can.",I accepted that the pandemic was happening and that it couldn‚Äôt be changed,covid,"Slider: 0 - None of the time, 25 - Rarely, 50 - Sometimes, 75 - Often, 100 - All of the time"
coping,13,"We are interested in how people respond to difficult events in their lives and the negative emotions associated with them. This questionnaire asks you to indicate how you have managed your emotions in response to the COVID-19 pandemic. Obviously, different people deal with things in different ways, but we are interested in how YOU have tried to deal with the challenges posed by the COVID-19 pandemic and the emotions associated with it. Please indicate how often you’ve used any of the strategies below in the last two weeks. Don't answer on the basis of whether it seems to be working or not — just whether or not you have been doing it. Make your answers as true FOR YOU as you can.",I talked to others about the pandemic and my feelings about it,covid,"Slider: 0 - None of the time, 25 - Rarely, 50 - Sometimes, 75 - Often, 100 - All of the time"
coping,14,"We are interested in how people respond to difficult events in their lives and the negative emotions associated with them. This questionnaire asks you to indicate how you have managed your emotions in response to the COVID-19 pandemic. Obviously, different people deal with things in different ways, but we are interested in how YOU have tried to deal with the challenges posed by the COVID-19 pandemic and the emotions associated with it. Please indicate how often you’ve used any of the strategies below in the last two weeks. Don't answer on the basis of whether it seems to be working or not — just whether or not you have been doing it. Make your answers as true FOR YOU as you can.",I asked other people who are going through the same thing what they are doing,covid,"Slider: 0 - None of the time, 25 - Rarely, 50 - Sometimes, 75 - Often, 100 - All of the time"
coping,15,"We are interested in how people respond to difficult events in their lives and the negative emotions associated with them. This questionnaire asks you to indicate how you have managed your emotions in response to the COVID-19 pandemic. Obviously, different people deal with things in different ways, but we are interested in how YOU have tried to deal with the challenges posed by the COVID-19 pandemic and the emotions associated with it. Please indicate how often you’ve used any of the strategies below in the last two weeks. Don't answer on the basis of whether it seems to be working or not — just whether or not you have been doing it. Make your answers as true FOR YOU as you can.",I felt a lot of emotional distress and I found myself expressing those feelings a lot,covid,"Slider: 0 - None of the time, 25 - Rarely, 50 - Sometimes, 75 - Often, 100 - All of the time"
coping,16,"We are interested in how people respond to difficult events in their lives and the negative emotions associated with them. This questionnaire asks you to indicate how you have managed your emotions in response to the COVID-19 pandemic. Obviously, different people deal with things in different ways, but we are interested in how YOU have tried to deal with the challenges posed by the COVID-19 pandemic and the emotions associated with it. Please indicate how often you’ve used any of the strategies below in the last two weeks. Don't answer on the basis of whether it seems to be working or not — just whether or not you have been doing it. Make your answers as true FOR YOU as you can.",I kept my feelings to myself,covid,"Slider: 0 - None of the time, 25 - Rarely, 50 - Sometimes, 75 - Often, 100 - All of the time"
coping,17,"We are interested in how people respond to difficult events in their lives and the negative emotions associated with them. This questionnaire asks you to indicate how you have managed your emotions in response to the COVID-19 pandemic. Obviously, different people deal with things in different ways, but we are interested in how YOU have tried to deal with the challenges posed by the COVID-19 pandemic and the emotions associated with it. Please indicate how often you’ve used any of the strategies below in the last two weeks. Don't answer on the basis of whether it seems to be working or not — just whether or not you have been doing it. Make your answers as true FOR YOU as you can.",I thought about the pandemic again and again,covid,"Slider: 0 - None of the time, 25 - Rarely, 50 - Sometimes, 75 - Often, 100 - All of the time"
coping,18,"We are interested in how people respond to difficult events in their lives and the negative emotions associated with them. This questionnaire asks you to indicate how you have managed your emotions in response to the COVID-19 pandemic. Obviously, different people deal with things in different ways, but we are interested in how YOU have tried to deal with the challenges posed by the COVID-19 pandemic and the emotions associated with it. Please indicate how often you’ve used any of the strategies below in the last two weeks. Don't answer on the basis of whether it seems to be working or not — just whether or not you have been doing it. Make your answers as true FOR YOU as you can.",I focused attention on my feelings and problems,covid,"Slider: 0 - None of the time, 25 - Rarely, 50 - Sometimes, 75 - Often, 100 - All of the time"
coping,19,"We are interested in how people respond to difficult events in their lives and the negative emotions associated with them. This questionnaire asks you to indicate how you have managed your emotions in response to the COVID-19 pandemic. Obviously, different people deal with things in different ways, but we are interested in how YOU have tried to deal with the challenges posed by the COVID-19 pandemic and the emotions associated with it. Please indicate how often you’ve used any of the strategies below in the last two weeks. Don't answer on the basis of whether it seems to be working or not — just whether or not you have been doing it. Make your answers as true FOR YOU as you can.",I worked out,covid,"Slider: 0 - None of the time, 25 - Rarely, 50 - Sometimes, 75 - Often, 100 - All of the time"
coping,20,"We are interested in how people respond to difficult events in their lives and the negative emotions associated with them. This questionnaire asks you to indicate how you have managed your emotions in response to the COVID-19 pandemic. Obviously, different people deal with things in different ways, but we are interested in how YOU have tried to deal with the challenges posed by the COVID-19 pandemic and the emotions associated with it. Please indicate how often you’ve used any of the strategies below in the last two weeks. Don't answer on the basis of whether it seems to be working or not — just whether or not you have been doing it. Make your answers as true FOR YOU as you can.",I tried to slow my heart rate and breathing,covid,"Slider: 0 - None of the time, 25 - Rarely, 50 - Sometimes, 75 - Often, 100 - All of the time"
coping,21,"We are interested in how people respond to difficult events in their lives and the negative emotions associated with them. This questionnaire asks you to indicate how you have managed your emotions in response to the COVID-19 pandemic. Obviously, different people deal with things in different ways, but we are interested in how YOU have tried to deal with the challenges posed by the COVID-19 pandemic and the emotions associated with it. Please indicate how often you’ve used any of the strategies below in the last two weeks. Don't answer on the basis of whether it seems to be working or not — just whether or not you have been doing it. Make your answers as true FOR YOU as you can.","I listened to music, read fiction, or enjoyed other forms of art",covid,"Slider: 0 - None of the time, 25 - Rarely, 50 - Sometimes, 75 - Often, 100 - All of the time"
coping,22,"We are interested in how people respond to difficult events in their lives and the negative emotions associated with them. This questionnaire asks you to indicate how you have managed your emotions in response to the COVID-19 pandemic. Obviously, different people deal with things in different ways, but we are interested in how YOU have tried to deal with the challenges posed by the COVID-19 pandemic and the emotions associated with it. Please indicate how often you’ve used any of the strategies below in the last two weeks. Don't answer on the basis of whether it seems to be working or not — just whether or not you have been doing it. Make your answers as true FOR YOU as you can.",Other,covid,"Slider: 0 - None of the time, 25 - Rarely, 50 - Sometimes, 75 - Often, 100 - All of the time"
covid_stress_family,1,"If any of them applies to A FAMILY MEMBER, please indicate how much stress you are experiencing right now as a result of it.",Became ill from possible exposure to COVID-19,covid,"Slider: 0 - No stress at all, 50 - Some stress, 100 - A great deal of stress"
covid_stress_family,4,"If any of them applies to A FAMILY MEMBER, please indicate how much stress you are experiencing right now as a result of it.",Was hospitalized due to exposure to COVID-19,covid,"Slider: 0 - No stress at all, 50 - Some stress, 100 - A great deal of stress"
covid_stress_family,5,"If any of them applies to A FAMILY MEMBER, please indicate how much stress you are experiencing right now as a result of it.",Experienced disruptions in living conditions,covid,"Slider: 0 - No stress at all, 50 - Some stress, 100 - A great deal of stress"
covid_stress_family,6,"If any of them applies to A FAMILY MEMBER, please indicate how much stress you are experiencing right now as a result of it.",Had difficulty getting food or other basic supplies,covid,"Slider: 0 - No stress at all, 50 - Some stress, 100 - A great deal of stress"
covid_stress_family,7,"If any of them applies to A FAMILY MEMBER, please indicate how much stress you are experiencing right now as a result of it.",Had difficulty  accessing regular medical care,covid,"Slider: 0 - No stress at all, 50 - Some stress, 100 - A great deal of stress"
covid_stress_family,8,"If any of them applies to A FAMILY MEMBER, please indicate how much stress you are experiencing right now as a result of it.",Was unable to communicate with family members,covid,"Slider: 0 - No stress at all, 50 - Some stress, 100 - A great deal of stress"
covid_stress_family,9,"If any of them applies to A FAMILY MEMBER, please indicate how much stress you are experiencing right now as a result of it.",Experienced a reduction in social activities,covid,"Slider: 0 - No stress at all, 50 - Some stress, 100 - A great deal of stress"
covid_stress_family,10,"If any of them applies to A FAMILY MEMBER, please indicate how much stress you are experiencing right now as a result of it.",Experienced a reduction in usual leisure activities,covid,"Slider: 0 - No stress at all, 50 - Some stress, 100 - A great deal of stress"
covid_stress_family,11,"If any of them applies to A FAMILY MEMBER, please indicate how much stress you are experiencing right now as a result of it.",Was unable to concentrate or focus on work,covid,"Slider: 0 - No stress at all, 50 - Some stress, 100 - A great deal of stress"
covid_stress_family,12,"If any of them applies to A FAMILY MEMBER, please indicate how much stress you are experiencing right now as a result of it.",Increased workload,covid,"Slider: 0 - No stress at all, 50 - Some stress, 100 - A great deal of stress"
covid_stress_family,13,"If any of them applies to A FAMILY MEMBER, please indicate how much stress you are experiencing right now as a result of it.",Increased responsibilities at home due to the COVID-19 pandemic,covid,"Slider: 0 - No stress at all, 50 - Some stress, 100 - A great deal of stress"
covid_stress_family,15,"If any of them applies to A FAMILY MEMBER, please indicate how much stress you are experiencing right now as a result of it.",Stigma/discrimination,covid,"Slider: 0 - No stress at all, 50 - Some stress, 100 - A great deal of stress"
covid_stress_friend,1,"If any of them applies to A CLOSE FRIEND, please indicate how much stress you are experiencing right now as a result of it.",Became ill from possible exposure to COVID-19,covid,"Slider: 0 - No stress at all, 50 - Some stress, 100 - A great deal of stress"
covid_stress_friend,4,"If any of them applies to A CLOSE FRIEND, please indicate how much stress you are experiencing right now as a result of it.",Was hospitalized due to exposure to COVID-19,covid,"Slider: 0 - No stress at all, 50 - Some stress, 100 - A great deal of stress"
covid_stress_friend,5,"If any of them applies to A CLOSE FRIEND, please indicate how much stress you are experiencing right now as a result of it.",Experienced disruptions in living conditions,covid,"Slider: 0 - No stress at all, 50 - Some stress, 100 - A great deal of stress"
covid_stress_friend,6,"If any of them applies to A CLOSE FRIEND, please indicate how much stress you are experiencing right now as a result of it.",Had difficulty getting food or other basic supplies,covid,"Slider: 0 - No stress at all, 50 - Some stress, 100 - A great deal of stress"
covid_stress_friend,7,"If any of them applies to A CLOSE FRIEND, please indicate how much stress you are experiencing right now as a result of it.",Had difficulty  accessing regular medical care,covid,"Slider: 0 - No stress at all, 50 - Some stress, 100 - A great deal of stress"
covid_stress_friend,8,"If any of them applies to A CLOSE FRIEND, please indicate how much stress you are experiencing right now as a result of it.",Was unable to communicate with family members,covid,"Slider: 0 - No stress at all, 50 - Some stress, 100 - A great deal of stress"
covid_stress_friend,9,"If any of them applies to A CLOSE FRIEND, please indicate how much stress you are experiencing right now as a result of it.",Experienced a reduction in social activities,covid,"Slider: 0 - No stress at all, 50 - Some stress, 100 - A great deal of stress"
covid_stress_friend,10,"If any of them applies to A CLOSE FRIEND, please indicate how much stress you are experiencing right now as a result of it.",Experienced a reduction in usual leisure activities,covid,"Slider: 0 - No stress at all, 50 - Some stress, 100 - A great deal of stress"
covid_stress_friend,11,"If any of them applies to A CLOSE FRIEND, please indicate how much stress you are experiencing right now as a result of it.",Was unable to concentrate or focus on work,covid,"Slider: 0 - No stress at all, 50 - Some stress, 100 - A great deal of stress"
covid_stress_friend,12,"If any of them applies to A CLOSE FRIEND, please indicate how much stress you are experiencing right now as a result of it.",Increased workload,covid,"Slider: 0 - No stress at all, 50 - Some stress, 100 - A great deal of stress"
covid_stress_friend,13,"If any of them applies to A CLOSE FRIEND, please indicate how much stress you are experiencing right now as a result of it.",Increased responsibilities at home due to the COVID-19 pandemic,covid,"Slider: 0 - No stress at all, 50 - Some stress, 100 - A great deal of stress"
covid_stress_friend,15,"If any of them applies to A CLOSE FRIEND, please indicate how much stress you are experiencing right now as a result of it.",Stigma/discrimination,covid,"Slider: 0 - No stress at all, 50 - Some stress, 100 - A great deal of stress"
covid_stress_self,1,"If any of them applies to YOU, please indicate how much stress you are experiencing right now as a result of it.",Became ill from possible exposure to COVID-19,covid,"Slider: 0 - No stress at all, 50 - Some stress, 100 - A great deal of stress"
covid_stress_self,4,"If any of them applies to YOU, please indicate how much stress you are experiencing right now as a result of it.",Was hospitalized due to exposure to COVID-19,covid,"Slider: 0 - No stress at all, 50 - Some stress, 100 - A great deal of stress"
covid_stress_self,5,"If any of them applies to YOU, please indicate how much stress you are experiencing right now as a result of it.",Experienced disruptions in living conditions,covid,"Slider: 0 - No stress at all, 50 - Some stress, 100 - A great deal of stress"
covid_stress_self,6,"If any of them applies to YOU, please indicate how much stress you are experiencing right now as a result of it.",Had difficulty getting food or other basic supplies,covid,"Slider: 0 - No stress at all, 50 - Some stress, 100 - A great deal of stress"
covid_stress_self,7,"If any of them applies to YOU, please indicate how much stress you are experiencing right now as a result of it.",Had difficulty  accessing regular medical care,covid,"Slider: 0 - No stress at all, 50 - Some stress, 100 - A great deal of stress"
covid_stress_self,8,"If any of them applies to YOU, please indicate how much stress you are experiencing right now as a result of it.",Was unable to communicate with family members,covid,"Slider: 0 - No stress at all, 50 - Some stress, 100 - A great deal of stress"
covid_stress_self,9,"If any of them applies to YOU, please indicate how much stress you are experiencing right now as a result of it.",Experienced a reduction in social activities,covid,"Slider: 0 - No stress at all, 50 - Some stress, 100 - A great deal of stress"
covid_stress_self,10,"If any of them applies to YOU, please indicate how much stress you are experiencing right now as a result of it.",Experienced a reduction in usual leisure activities,covid,"Slider: 0 - No stress at all, 50 - Some stress, 100 - A great deal of stress"
covid_stress_self,11,"If any of them applies to YOU, please indicate how much stress you are experiencing right now as a result of it.",Was unable to concentrate or focus on work,covid,"Slider: 0 - No stress at all, 50 - Some stress, 100 - A great deal of stress"
covid_stress_self,12,"If any of them applies to YOU, please indicate how much stress you are experiencing right now as a result of it.",Increased workload,covid,"Slider: 0 - No stress at all, 50 - Some stress, 100 - A great deal of stress"
covid_stress_self,13,"If any of them applies to YOU, please indicate how much stress you are experiencing right now as a result of it.",Increased responsibilities at home due to the COVID-19 pandemic,covid,"Slider: 0 - No stress at all, 50 - Some stress, 100 - A great deal of stress"
covid_stress_self,15,"If any of them applies to YOU, please indicate how much stress you are experiencing right now as a result of it.",Stigma/discrimination,covid,"Slider: 0 - No stress at all, 50 - Some stress, 100 - A great deal of stress"
covid_stressor_finan,NA,How severe is the negative influence of COVID-19 on your personal financial situation?,NA,covid,"Slider: 0 - Not severe at all, 100 - Extremely severe"
diet_group,NA,What percentage of members in [group] eat unhealthy high-calorie snack foods every day?,What percentage of members in ${e://Field/group} eat unhealthy high-calorie snack foods every day?,covid,"Slider: 0%, 100%"
drugs_today_dose,NA,What was the dosage of the drug(s)?,NA,prescan,text entry
drugs_today_names,NA,"If yes, please list what the drugs are.",NA,prescan,text entry
drugs_today_time,NA,At what time did you take this drug(s)?,NA,prescan,text entry
drunk_percent,NA,"What percentage of the times that you drink do you get drunk? (just enter number, no percentage sign)",NA,prescan,text entry
drunk_times,NA,"How many times have you been drunk in the last 6 months? By ‚Äòdrunk‚Äô we mean loss of coordination, nausea, and/or inability to speak clearly.",NA,prescan,text entry
eyes_rx1,1,What is your prescription?,Right Eye (OD),baseline,"Slider: -7 - Any number lower than -6, 7 - Any number higher than 6"
eyes_rx1,2,What is your prescription?,Left Eye (OC),baseline,"Slider: -7 - Any number lower than -6, 7 - Any number higher than 6"
eyes_rx2,NA,"Any additional information (e.g., astigmatism)",NA,baseline,text entry
FTP,1,"Please select one of the options, where 1 means the statement is very untrue for you and 7 means that the statement is very true for you.",Many opportunities await me in the future,covid,"Slider: 1 - Not untrue, 7 - Very true"
FTP,4,"Please select one of the options, where 1 means the statement is very untrue for you and 7 means that the statement is very true for you.",I expect that I will set many new goals in the future,covid,"Slider: 1 - Not untrue, 7 - Very true"
FTP,5,"Please select one of the options, where 1 means the statement is very untrue for you and 7 means that the statement is very true for you.",My future is filled with possibilities,covid,"Slider: 1 - Not untrue, 7 - Very true"
FTP,6,"Please select one of the options, where 1 means the statement is very untrue for you and 7 means that the statement is very true for you.",Most of my life lies ahead of me,covid,"Slider: 1 - Not untrue, 7 - Very true"
FTP,7,"Please select one of the options, where 1 means the statement is very untrue for you and 7 means that the statement is very true for you.",My future seems infinite to me,covid,"Slider: 1 - Not untrue, 7 - Very true"
FTP,8,"Please select one of the options, where 1 means the statement is very untrue for you and 7 means that the statement is very true for you.",I could do anything I want in the future,covid,"Slider: 1 - Not untrue, 7 - Very true"
FTP,9,"Please select one of the options, where 1 means the statement is very untrue for you and 7 means that the statement is very true for you.",There is plenty of time left in my life to make new plans,covid,"Slider: 1 - Not untrue, 7 - Very true"
FTP,10,"Please select one of the options, where 1 means the statement is very untrue for you and 7 means that the statement is very true for you.",I have the sense time is running out,covid,"Slider: 1 - Not untrue, 7 - Very true"
FTP,11,"Please select one of the options, where 1 means the statement is very untrue for you and 7 means that the statement is very true for you.",There are only limited possibilities in my future,covid,"Slider: 1 - Not untrue, 7 - Very true"
grm_identity,15,"For the next questions, rate how much you agree with the statements below on a scale from 1(not at all) to 7(very much)",I see myself as a part of [group],baseline,"Slider: 1 - Not at all, 7 - Very much"
grm_identity,16,"For the next questions, rate how much you agree with the statements below on a scale from 1(not at all) to 7(very much)",My membership to [group]  is important to me,baseline,"Slider: 1 - Not at all, 7 - Very much"
grm_identity,17,"For the next questions, rate how much you agree with the statements below on a scale from 1(not at all) to 7(very much)",I feel comfortable contributing to [group]'s activities,baseline,"Slider: 1 - Not at all, 7 - Very much"
grm_identity,18,"For the next questions, rate how much you agree with the statements below on a scale from 1(not at all) to 7(very much)",I am motivated to help my group reach its goals,baseline,"Slider: 1 - Not at all, 7 - Very much"
grm_identity,19,"For the next questions, rate how much you agree with the statements below on a scale from 1(not at all) to 7(very much)",The other members of [group] depend on me,baseline,"Slider: 1 - Not at all, 7 - Very much"
grm_identity,20,"For the next questions, rate how much you agree with the statements below on a scale from 1(not at all) to 7(very much)",Other members of [group] like me the way I am,baseline,"Slider: 1 - Not at all, 7 - Very much"
grm_identity,21,"For the next questions, rate how much you agree with the statements below on a scale from 1(not at all) to 7(very much)",I feel comfortable asking for help from my [group] peers if I am struggling to complete a group-related task,baseline,"Slider: 1 - Not at all, 7 - Very much"
grm_identity,25,"For the next questions, rate how much you agree with the statements below on a scale from 1(not at all) to 7(very much)",I have a lot in common with the other members of [group],baseline,"Slider: 1 - Not at all, 7 - Very much"
grm_identity,15,"For the next questions, rate how much you agree with the statements below on a scale from 1(not at all) to 7(very much)",I see myself as a part of [group],covid,"Slider: 1 - Not at all, 7 - Very much"
grm_identity,16,"For the next questions, rate how much you agree with the statements below on a scale from 1(not at all) to 7(very much)",My membership to [group] is important to me,covid,"Slider: 1 - Not at all, 7 - Very much"
grm_identity,25,"For the next questions, rate how much you agree with the statements below on a scale from 1(not at all) to 7(very much)",I have a lot in common with the other members of [group],covid,"Slider: 1 - Not at all, 7 - Very much"
grm_identity,15,"For the next questions, rate how much you agree with the statements below on a scale from 1(not at all) to 7(very much)",I see myself as a part of [group],followup_6months,"Slider: 1 - Not at all, 7 - Very much"
grm_identity,16,"For the next questions, rate how much you agree with the statements below on a scale from 1(not at all) to 7(very much)",My membership to [group] is important to me,followup_6months,"Slider: 1 - Not at all, 7 - Very much"
grm_identity,17,"For the next questions, rate how much you agree with the statements below on a scale from 1(not at all) to 7(very much)",I feel comfortable contributing to [group] activities,followup_6months,"Slider: 1 - Not at all, 7 - Very much"
grm_identity,18,"For the next questions, rate how much you agree with the statements below on a scale from 1(not at all) to 7(very much)",I am motivated to help my group reach its goals,followup_6months,"Slider: 1 - Not at all, 7 - Very much"
grm_identity,19,"For the next questions, rate how much you agree with the statements below on a scale from 1(not at all) to 7(very much)",The other members of [group] depend on me,followup_6months,"Slider: 1 - Not at all, 7 - Very much"
grm_identity,20,"For the next questions, rate how much you agree with the statements below on a scale from 1(not at all) to 7(very much)",Other members of [group] like me the way I am,followup_6months,"Slider: 1 - Not at all, 7 - Very much"
grm_identity,21,"For the next questions, rate how much you agree with the statements below on a scale from 1(not at all) to 7(very much)",I feel comfortable asking for help from my [group] peers if I am struggling to complete a group-related task,followup_6months,"Slider: 1 - Not at all, 7 - Very much"
grm_identity,25,"For the next questions, rate how much you agree with the statements below on a scale from 1(not at all) to 7(very much)",I have a lot in common with the other members of [group],followup_6months,"Slider: 1 - Not at all, 7 - Very much"
grm_identity,15,"For the next questions, rate how much you agree with the statements below on a scale from 1(not at all) to 7(very much)",I see myself as a part of [group],followup_12months,"Slider: 1 - Not at all, 7 - Very much"
grm_identity,16,"For the next questions, rate how much you agree with the statements below on a scale from 1(not at all) to 7(very much)",My membership to [group] is important to me,followup_12months,"Slider: 1 - Not at all, 7 - Very much"
grm_identity,17,"For the next questions, rate how much you agree with the statements below on a scale from 1(not at all) to 7(very much)",I feel comfortable contributing to [group] activities,followup_12months,"Slider: 1 - Not at all, 7 - Very much"
grm_identity,18,"For the next questions, rate how much you agree with the statements below on a scale from 1(not at all) to 7(very much)",I am motivated to help my group reach its goals,followup_12months,"Slider: 1 - Not at all, 7 - Very much"
grm_identity,19,"For the next questions, rate how much you agree with the statements below on a scale from 1(not at all) to 7(very much)",The other members of [group] depend on me,followup_12months,"Slider: 1 - Not at all, 7 - Very much"
